业务ID,L1模块,L2主题,L3核心概念,L4原子知识点,知识本体类型,前置依赖节点,纵向前置节点,默认分册,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,认知共生节点,建议SOLO上限,常见错误模式
KP-0160,数与代数,整数乘法(多位数乘一位数),口算乘法,整十整百数乘一位数,算法-末尾有0,KP-0089,KP-0154,三上,L1,,,,,,,,L1,
KP-0161,数与代数,整数乘法(多位数乘一位数),笔算乘法,多位数乘一位数(不进位),算法-不进位,KP-0160,KP-0089,三上,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0162,数与代数,整数乘法(多位数乘一位数),笔算乘法,多位数乘一位数(一次进位),算法-进位,KP-0161,KP-0147,三上,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0163,数与代数,整数乘法(多位数乘一位数),笔算乘法,多位数乘一位数(连续进位),算法-连续进位,KP-0162,KP-0148,三上,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0164,数与代数,整数乘法(多位数乘一位数),笔算乘法,因数中间有0的乘法,算法-中间有0,KP-0163,,三上,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0165,数与代数,整数乘法(多位数乘一位数),笔算乘法,因数末尾有0的乘法,算法-末尾有0,KP-0163,,三上,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0166,数与代数,整数除法(除数是一位数),口算除法,整十整百数除以一位数,算法-不进位,KP-0095,,三下,L1,,,,,,,,L1,
KP-0167,数与代数,整数除法(除数是一位数),笔算除法,两位数除以一位数(首位能整除),算法-除法特殊,KP-0166,KP-0103,三下,L1,,,,,,,,L2,
KP-0168,数与代数,整数除法(除数是一位数),笔算除法,两位数除以一位数(首位不能整除),算法-除法特殊,KP-0167,KP-0167,三下,L1,,,,,,,,L2,
KP-0169,数与代数,整数除法(除数是一位数),笔算除法,三位数除以一位数(首位够除),算法-除法特殊,KP-0168,KP-0168,三下,L1,,,,,,,,L2,
KP-0170,数与代数,整数除法(除数是一位数),笔算除法,三位数除以一位数(首位不够除),算法-除法特殊,KP-0169,KP-0169,三下,L1,,,,,,,,L2,
KP-0171,数与代数,整数除法(除数是一位数),笔算除法,商中间有0的除法,算法-中间有0,KP-0170,KP-0244,三下,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0172,数与代数,整数除法(除数是一位数),笔算除法,商末尾有0的除法,算法-中间有0,KP-0171,KP-0245,三下,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0173,数与代数,整数除法(除数是一位数),乘除法的验算,乘除法的验算(用逆运算验证),算法-不进位,KP-0170,,三下,L1,,,,,,,,L1,域2:验算时只用原方法重算而非逆运算验证
KP-0174,数与代数,整数乘法(多位数乘一位数),乘除法应用模型(初步),归一问题(先求单一量),实践-应用模型,KP-0158,,三上,L3,,,,,,,,L3,域5:先求单一量还是先求总量方向搞反
KP-0175,数与代数,整数乘法(多位数乘一位数),乘除法应用模型(初步),归总问题(先求总量),实践-应用模型,KP-0174,,三上,L3,,,,,,,,L3,
KP-0176,综合与实践,数学广角,植树问题,植树问题(间隔模型),实践-应用模型,KP-0103,,五上,L3,,,,,,,,L4,域5:棵数与间隔数关系搞反(两端种树vs两端不种)
KP-0177,综合与实践,数学广角,还原问题,还原问题(逆推法),实践-应用模型,KP-0100,,三上,L3,,,,,,,,L4,
KP-0178,图形与几何,常见的量(长度与质量进阶),长度单位的认识,毫米的认识,概念-认识,KP-0118,,三上,L1,,,,,,,,L1,
KP-0179,图形与几何,常见的量(长度与质量进阶),长度单位的认识,分米的认识,概念-认识,KP-0178,,三上,L1,,,,,,,,L1,
KP-0180,图形与几何,常见的量(长度与质量进阶),长度单位的认识,千米的认识,概念-认识,KP-0119,,三上,L1,,,,,,,,L1,
KP-0181,图形与几何,常见的量(长度与质量进阶),长度单位的换算,毫米与厘米的进率(1厘米=10毫米),算法-单位换算,KP-0178,,三上,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0182,图形与几何,常见的量(长度与质量进阶),长度单位的换算,分米与米的进率(1米=10分米),算法-单位换算,KP-0179,,三上,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0183,图形与几何,常见的量(长度与质量进阶),长度单位的换算,千米与米的进率(1千米=1000米),算法-单位换算,KP-0180,,三上,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0184,图形与几何,常见的量(长度与质量进阶),质量单位的认识,吨的认识,概念-认识,KP-0128,,三下,L1,,,,,,,,L1,
KP-0185,图形与几何,常见的量(长度与质量进阶),质量单位的换算,吨与千克的进率(1吨=1000千克),算法-单位换算,KP-0184,,三下,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0186,图形与几何,平面图形的认识与测量(周长),四边形的认识,四边形的直观特征,概念-认识,,,三下,L1,,,,,,,,L1,
KP-0187,图形与几何,平面图形的认识与测量(周长),长方形与正方形的特征,长方形的边角特征,概念-认识,KP-0186,,三下,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0188,图形与几何,平面图形的认识与测量(周长),长方形与正方形的特征,正方形的边角特征,概念-认识,KP-0187,,三下,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0189,图形与几何,平面图形的认识与测量(周长),周长的意义,周长的概念,概念-意义,KP-0186,,三下,L2,,,,,,,,L2,域4:周长与面积混淆(用错公式)
KP-0190,图形与几何,平面图形的认识与测量(周长),周长的计算,长方形周长的算理(对边相等),概念-意义,KP-0187,,三下,L2,,,,,,,,L2,域4:周长与面积混淆(用错公式)
KP-0191,图形与几何,平面图形的认识与测量(周长),周长的计算,长方形周长的计算,算法-不进位,KP-0190,,三下,L1,,,,,,,,L1,域4:周长与面积混淆(用错公式)
KP-0192,图形与几何,平面图形的认识与测量(周长),周长的计算,正方形周长的计算,算法-不进位,KP-0086|KP-0188,,三下,L1,,,,,,,,L1,域4:周长与面积混淆(用错公式)
KP-0193,数与代数,整数乘法(两位数乘两位数),口算乘法,整十数乘整十数,算法-末尾有0,KP-0160,KP-0160,三下,L1,,,,,,,,L1,
KP-0194,数与代数,整数乘法(两位数乘两位数),笔算乘法,两位数乘两位数(不进位),算法-不进位,KP-0193,KP-0161,三下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0195,数与代数,整数乘法(两位数乘两位数),笔算乘法,两位数乘两位数(进位),算法-进位,KP-0194,KP-0163,三下,L1,,,,,,,,L1,"E12:45×22=180(把20当2用,丢了一个0)"
KP-0196,图形与几何,平面图形的认识与测量(面积),面积的意义,面积的概念,概念-意义,KP-0189,,三下,L2,,,,,,,,L2,G1:面积题用周长公式(围栏vs地砖混淆)
KP-0197,图形与几何,平面图形的认识与测量(面积),面积单位,平方厘米/平方分米/平方米的认识,概念-认识,KP-0196,,三下,L1,,,,,,,,L1,
KP-0198,图形与几何,平面图形的认识与测量(面积),面积的计算,长方形面积的算理(行列模型),概念-意义,KP-0196|KP-0086,KP-0191,三下,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0199,图形与几何,平面图形的认识与测量(面积),面积的计算,长方形面积的计算,算法-不进位,KP-0198,,三下,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0200,图形与几何,平面图形的认识与测量(面积),面积的计算,正方形面积的计算,算法-不进位,KP-0199,,三下,L1,,,,,,,,L1,域4:面积与周长混淆(用错公式)/单位用错
KP-0201,图形与几何,平面图形的认识与测量(面积),面积单位的换算,相邻面积单位间的进率(100),算法-单位换算,KP-0197,KP-0120,三下,L2,,,,,,,,L2,域4:面积与周长混淆(用错公式)/单位用错
KP-0202,图形与几何,平面图形的认识与测量(面积),面积单位的换算,公顷的认识与换算,算法-单位换算,KP-0201,KP-0201,三下,L2,,,,,,,,L2,
KP-0203,图形与几何,平面图形的认识与测量(面积),面积单位的换算,平方千米的认识与换算,算法-单位换算,KP-0202,KP-0202,三下,L2,,,,,,,,L2,
KP-0204,图形与几何,常见的量(时间进阶),年月日的认识,大月与小月的特征,概念-认识,,,三下,L1,,,,,,,,L1,
KP-0205,图形与几何,常见的量(时间进阶),年月日的认识,平年与闰年的特征,概念-认识,KP-0204,,三下,L1,,,,,,,,L1,
KP-0206,图形与几何,常见的量(时间进阶),计时法,24时计时法与普通计时法的转换,表征-互化,,,三下,L2,,,,,,,,L2,域5:普通计时法↔24时计时法转换错(+12/−12方向反)
KP-0207,图形与几何,图形与位置,位置的初步认识,上下前后的认识,概念-认识,,,三下,L1,,,,,,,,L1,
KP-0208,图形与几何,图形与位置,位置的初步认识,左右的认识,概念-认识,KP-0207,,三下,L1,,,,,,,,L1,
KP-0209,图形与几何,图形与位置,方向的认识,东南西北的认识,概念-认识,,,三下,L1,,,,,,,,L1,
KP-0210,图形与几何,图形与位置,方向的认识,东北/东南/西北/西南的认识,概念-认识,KP-0209,,三下,L1,,,,,,,,L1,
KP-0211,数与代数,分数的初步认识,分数的意义(初步),几分之一的认识,概念-意义,,,三上,L2,,,,,,,,L2,
KP-0212,数与代数,分数的初步认识,分数的意义(初步),几分之几的认识,概念-意义,KP-0211,,三上,L2,,,,,,,,L2,
KP-0213,数与代数,分数的初步认识,分数比大小(初步),同分母分数比大小,概念-比较,KP-0212,,三上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0214,数与代数,分数的初步认识,分数比大小(初步),同分子分数比大小,概念-比较,KP-0213,,三上,L1,,,,,,,,L1,F1:1/3>1/2(整数大小规则错误迁移到分数)
KP-0215,数与代数,分数的初步认识,分数的简单计算,同分母分数加减法(分母小于10),概念-认识,KP-0212,,三上,L1,,,,,,,,L1,域3:用整数思维理解分数(分母越大值越大)
KP-0216,数与代数,分数的初步认识,分数的简单计算,1减去几分之几,算法-不进位,KP-0215,,三上,L1,,,,,,,,L1,
KP-0217,数与代数,小数的初步认识,小数的意义(初步),一位小数的意义,概念-意义,KP-0211|KP-0024,,三下,L2,,,,,,,,L2,
KP-0218,数与代数,小数的初步认识,小数的读写(初步),一位小数的读写,概念-读写,KP-0217,,三下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0219,数与代数,小数的初步认识,小数比大小(初步),一位小数的比大小,概念-比较,KP-0218,,三下,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0220,数与代数,小数的初步认识,小数的简单计算,一位小数的加法(不进位),算法-不进位,KP-0219,,三下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0221,数与代数,小数的初步认识,小数的简单计算,一位小数的减法(不退位),算法-不退位,KP-0220,,三下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0222,数与代数,小数的初步认识,小数的简单计算,一位小数的加法(进位),算法-进位,KP-0220,,三下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0223,数与代数,小数的初步认识,小数的简单计算,一位小数的减法(退位),算法-退位,KP-0222,,三下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0224,数与代数,整数认识(大数),亿以内数的认识,亿以内数的计数单位与数位顺序,概念-组成,KP-0108,,四上,L1,,,,,,,,L1,
KP-0225,数与代数,整数认识(大数),亿以内数的认识,十进制计数法,概念-意义,KP-0224,,四上,L2,,,,,,,,L2,
KP-0226,数与代数,整数认识(大数),亿以内数的读写,亿以内数的一般读法,概念-读写,KP-0224,KP-0109,四上,L1,,,,,,,,L1,
KP-0227,数与代数,整数认识(大数),亿以内数的读写,亿以内数中间有0的读法,概念-读写,KP-0226,KP-0110,四上,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0228,数与代数,整数认识(大数),亿以内数的读写,亿以内数末尾有0的读法,概念-读写,KP-0227,KP-0111,四上,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0229,数与代数,整数认识(大数),亿以内数的读写,亿以内数中间和末尾都有0的读法,概念-读写,KP-0228,KP-0227,四上,L1,,,,,,,,L1,
KP-0230,数与代数,整数认识(大数),亿以内数的读写,亿以内数的一般写法,概念-读写,KP-0226,KP-0226,四上,L1,,,,,,,,L1,
KP-0231,数与代数,整数认识(大数),亿以内数的读写,亿以内数中间有0的写法,概念-读写,KP-0230,KP-0227,四上,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0232,数与代数,整数认识(大数),亿以内数的读写,亿以内数末尾有0的写法,概念-读写,KP-0231,KP-0228,四上,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0233,数与代数,整数认识(大数),亿以内数的读写,亿以内数中间和末尾都有0的写法,概念-读写,KP-0232,KP-0229,四上,L1,,,,,,,,L1,
KP-0234,数与代数,整数认识(大数),大数的改写与近似数,整万数的改写,表征-互化,KP-0226|KP-0230,,四上,L2,,,,,,,,L2,
KP-0235,数与代数,整数认识(大数),大数的改写与近似数,非整万数求近似数,算法-近似数,KP-0234,KP-0113,四上,L1,,,,,,,,L1,
KP-0236,数与代数,整数认识(大数),亿以上数的认识,亿以上数的一般读写,概念-读写,KP-0226|KP-0230,KP-0226,四上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0237,数与代数,整数认识(大数),亿以上数的认识,亿以上数中间有0的读写,概念-读写,KP-0236,KP-0227,四上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0238,数与代数,整数认识(大数),亿以上数的认识,亿以上数末尾有0的读写,概念-读写,KP-0237,KP-0228,四上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0239,数与代数,整数认识(大数),亿以上数的认识,亿以上数中间和末尾都有0的读写,概念-读写,KP-0238,KP-0229,四上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0240,数与代数,整数认识(大数),大数的改写与近似数,整亿数的改写,表征-互化,KP-0236,,四上,L2,,,,,,,,L2,
KP-0241,数与代数,整数认识(大数),大数的改写与近似数,非整亿数求近似数,算法-近似数,KP-0240,KP-0235,四上,L1,,,,,,,,L1,
KP-0242,综合与实践,数学广角,鸡兔同笼,鸡兔同笼问题(假设法),实践-应用模型,KP-0100,,四下,L3,,,,,,,,L4,
KP-0243,数与代数,整数乘法(多位数),三位数乘两位数,三位数乘两位数(一般情况),算法-连续进位,KP-0195,KP-0195,四上,L1,,,,,,,,L1,
KP-0244,数与代数,整数乘法(多位数),三位数乘两位数,因数中间有0的乘法,算法-中间有0,KP-0243,,四上,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0245,数与代数,整数乘法(多位数),三位数乘两位数,因数末尾有0的乘法,算法-末尾有0,KP-0243,,四上,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0246,数与代数,整数乘法(多位数),积的变化规律,积的变化规律(单因数变化),关系-变化规律,KP-0243,,四上,L3,,,,,,,,L3,
KP-0247,数与代数,整数乘法(多位数),积的变化规律,积的变化规律(双因数变化),关系-变化规律,KP-0246,,四上,L3,,,,,,,,L3,
KP-0248,数与代数,整数乘法(多位数),乘除法估算,乘法估算,算法-近似数,KP-0243,,四上,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0249,数与代数,整数除法(多位数),除数是整十数的除法,除数是整十数的口算除法,算法-不进位,KP-0166,,四上,L1,,,,,,,,L1,"域2:心算时工作记忆过载,中间结果丢失"
KP-0250,数与代数,整数除法(多位数),除数是两位数的除法,试商方法(四舍五入法),算法-不进位,KP-0249|KP-0103,,四上,L1,,,,,,,,L1,域2:试商反复失败(估算能力弱)
KP-0251,数与代数,整数除法(多位数),除数是两位数的除法,除数是两位数(商是一位数),算法-除法特殊,KP-0250,KP-0170,四上,L1,,,,,,,,L2,
KP-0252,数与代数,整数除法(多位数),除数是两位数的除法,除数是两位数(商是两位数),算法-除法特殊,KP-0251,KP-0251,四上,L1,,,,,,,,L2,
KP-0253,数与代数,整数除法(多位数),商的变化规律,商不变的规律,关系-变化规律,KP-0246,,四上,L3,,,,,,,,L3,
KP-0254,数与代数,整数除法(多位数),乘除法估算,除法估算,算法-近似数,KP-0252,,四上,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0255,数与代数,运算定律与简便计算,加法运算定律,加法交换律,关系-运算律,,,四下,L1,,,,,,,,L2,域2:交换律不理解(3+5=8但5+3需重算)
KP-0256,数与代数,运算定律与简便计算,加法运算定律,加法结合律,关系-运算律,KP-0255,,四下,L1,,,,,,,,L2,域2:不会选择合适的运算顺序简化计算
KP-0257,数与代数,运算定律与简便计算,减法的性质,减法的性质(连减变减和),概念-性质,KP-0256,,四下,L3,,,,,,,,L3,
KP-0258,数与代数,运算定律与简便计算,乘法运算定律,乘法交换律,关系-运算律,,KP-0255,四下,L1,,,,,,,,L2,域2:交换律不理解(3+5=8但5+3需重算)
KP-0259,数与代数,运算定律与简便计算,乘法运算定律,乘法结合律,关系-运算律,KP-0258,KP-0256,四下,L1,,,,,,,,L2,域2:不会选择合适的运算顺序简化计算
KP-0260,数与代数,运算定律与简便计算,乘法运算定律,乘法分配律,关系-运算律,KP-0259,,四下,L1,,,,,,,,L2,域2:(a+b)×c只乘a忘乘b/错误展开为a×c+b
KP-0261,数与代数,运算定律与简便计算,除法的性质,除法的性质(连除变除积),概念-性质,KP-0260,,四下,L3,,,,,,,,L3,
KP-0262,数与代数,小数的认识,小数的意义,小数的意义(十进分数),概念-意义,KP-0217,KP-0024,四下,L2,,,,,,,,L2,域3:用整数思维理解分数(分母越大值越大)
KP-0263,数与代数,小数的认识,小数的读写,小数的读法,概念-读写,KP-0262,KP-0109,三下,L1,,,,,,,,L1,
KP-0264,数与代数,小数的认识,小数的读写,小数的一般写法,概念-读写,KP-0263,KP-0263,三下,L1,,,,,,,,L1,
KP-0265,数与代数,小数的认识,小数的读写,小数中间有0的写法,概念-读写,KP-0264,KP-0107,三下,L1,,,,,,,,L1,域2:中间0借位后变9非10(位值概念不清)
KP-0266,数与代数,小数的认识,小数的读写,小数末尾有0的写法,概念-读写,KP-0265,KP-0264,三下,L1,,,,,,,,L1,域2:末尾0处理错误(忘写或少写0)
KP-0267,数与代数,小数的认识,小数的性质,小数的性质(末尾添0去0),算法-末尾有0,KP-0264,,四下,L1,,,,,,,,L1,
KP-0268,数与代数,小数的认识,小数的比大小,多位小数的比大小,概念-比较,KP-0267,KP-0112,三下,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0269,数与代数,小数的认识,小数点位置移动,小数点向右移动引起大小变化,概念-性质,KP-0267,,三下,L3,,,,,,,,L3,域3:小数点移位方向搞反/移动位数记错
KP-0270,数与代数,小数的认识,小数点位置移动,小数点向左移动引起大小变化,概念-性质,KP-0269,,三下,L3,,,,,,,,L3,域3:小数点移位方向搞反/移动位数记错
KP-0271,数与代数,小数的认识,名数互化,单名数之间的互化,算法-单位换算,KP-0269|KP-0270,KP-0202,三下,L2,,,,,,,,L2,
KP-0272,数与代数,小数的认识,名数互化,单复名数之间的互化,算法-单位换算,KP-0271,KP-0271,三下,L2,,,,,,,,L2,
KP-0273,数与代数,小数的认识,小数的近似数,求小数的近似数,算法-近似数,KP-0267,KP-0241,三下,L1,,,,,,,,L1,
KP-0274,数与代数,小数加减法,小数加减法的对齐规则,小数加减法对齐规则(小数点对齐),算法-不进位,KP-0148|KP-0262|KP-0153,,四下,L1,,,,,,,,L1,E2:8.5-2.15=6.45(末位对齐而非小数点对齐)
KP-0275,数与代数,小数加减法,小数加法,小数加法(位数相同不进位),算法-不进位,KP-0274,KP-0146,四下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0276,数与代数,小数加减法,小数加法,小数加法(位数相同进位),算法-进位,KP-0275,KP-0148,四下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0277,数与代数,小数加减法,小数加法,小数加法(位数不同),算法-进位,KP-0276,KP-0276,四下,L1,,,,,,,,L1,
KP-0278,数与代数,小数加减法,小数减法,小数减法(位数相同不退位),算法-不退位,KP-0274,KP-0150,四下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0279,数与代数,小数加减法,小数减法,小数减法(位数相同退位),算法-退位,KP-0278,KP-0152,四下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0280,数与代数,小数加减法,小数减法,小数减法(位数不同),算法-退位,KP-0279,KP-0279,四下,L1,,,,,,,,L1,
KP-0281,图形与几何,线与角,线段/直线/射线,线段/直线/射线的特征,概念-认识,,,四上,L1,,,,,,,,L1,
KP-0282,图形与几何,线与角,角的度量,角的度量方法(量角器),实践-度量,KP-0123,,四上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0283,图形与几何,线与角,角的分类,锐角/直角/钝角/平角/周角的特征,概念-认识,KP-0282,,四上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0284,图形与几何,线与角,角的画法,用量角器画指定度数的角,实践-构图,KP-0282,,四上,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0285,图形与几何,平行与垂直,平行与垂直的认识,同一平面内两条直线的位置关系,概念-认识,KP-0281,,四上,L1,,,,,,,,L1,
KP-0286,图形与几何,平行与垂直,垂线的画法与性质,画垂线的方法,实践-构图,KP-0285,,四上,L2,,,,,,,,L2,
KP-0287,图形与几何,平行与垂直,垂线的画法与性质,点到直线的距离(垂线段最短),概念-定理,KP-0286,,四上,L3,,,,,,,,L3,
KP-0288,图形与几何,平行与垂直,平行线的画法,画平行线的方法,实践-构图,KP-0285,,四上,L2,,,,,,,,L2,
KP-0289,图形与几何,平行与垂直,平行线的性质,平行线间的距离,概念-性质,KP-0288|KP-0287,,四上,L3,,,,,,,,L3,
KP-0290,图形与几何,平面图形的认识(多边形),四边形的性质,四边形的不稳定性,概念-定理,KP-0293,,四下,L3,,,,,,,,L3,
KP-0291,图形与几何,平面图形的认识(多边形),平行四边形,平行四边形的特征,概念-认识,KP-0285,,四上,L1,,,,,,,,L1,
KP-0292,图形与几何,平面图形的认识(多边形),梯形,梯形的特征,概念-认识,KP-0291,,四上,L1,,,,,,,,L1,
KP-0293,图形与几何,平面图形的认识(多边形),三角形的特性,三角形的稳定性,概念-定理,KP-0067,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0294,图形与几何,平面图形的认识(多边形),三角形的三边关系,三角形任意两边之和大于第三边,概念-定理,KP-0293,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0295,图形与几何,平面图形的认识(多边形),三角形的高,三角形的高(作高方法),实践-构图,KP-0294,,四下,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0296,图形与几何,平面图形的认识(多边形),三角形的内角和,三角形内角和是180度,概念-定理,KP-0295,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0297,图形与几何,平面图形的认识(多边形),多边形内角和,四边形内角和(360度),概念-定理,KP-0296,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0298,图形与几何,平面图形的认识(多边形),多边形内角和,多边形内角和公式,概念-定理,KP-0297,,四下,L3,,,,,,,,L3,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0299,图形与几何,平面图形的认识(多边形),三角形的分类,按角分类(锐角/直角/钝角三角形),概念-定义,KP-0296,,四下,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0300,图形与几何,平面图形的认识(多边形),三角形的分类,按边分类(等腰/等边三角形),概念-定义,KP-0299,,四下,L2,,,,,,,,L2,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0301,图形与几何,图形的运动,平移,在方格纸上平移图形,实践-构图,KP-0131,,二下,L2,,,,,,,,L2,域4:平移格数=端点间距而非对应点间距
KP-0302,图形与几何,图形的运动,轴对称,对称轴的概念与画法,概念-定义,KP-0130,,二下,L2,,,,,,,,L2,域4:对称轴数量漏数/非轴对称图形硬要找对称轴
KP-0303,图形与几何,图形的运动,轴对称,补全轴对称图形,实践-构图,KP-0302,,二下,L2,,,,,,,,L2,
KP-0304,统计与概率,数据统计与分析,条形统计图,1格代表多个单位的条形统计图,表征-互化,KP-0140,KP-0506,四上,L2,,,,,,,,L2,域5:1格代表多少单位读错
KP-0305,统计与概率,数据统计与分析,条形统计图,复式条形统计图,概念-意义,KP-0304,KP-0304,四上,L2,,,,,,,,L2,域5:1格代表多少单位读错
KP-0306,统计与概率,数据统计与分析,平均数,平均数的意义(移多补少原理),概念-意义,KP-0082|KP-0093,,四下,L2,,,,,,,,L2,域5:平均数=总数÷份数但份数数错
KP-0307,统计与概率,数据统计与分析,平均数,平均数的计算(总数÷份数),算法-不进位,KP-0306,,四下,L1,,,,,,,,L1,域5:平均数=总数÷份数但份数数错
KP-0308,数与代数,小数乘除法,小数乘法的对齐规则,小数乘法对齐规则(末位对齐),算法-不进位,KP-0243|KP-0269,,五上,L1,,,,,,,,L1,域3:积的小数点位置错误(忘记数小数位数)
KP-0309,数与代数,小数乘除法,小数乘法,小数乘整数的算理(转化思想),概念-意义,KP-0308|KP-0246,KP-0243,五上,L2,,,,,,,,L2,域3:积的小数点位置错误(忘记数小数位数)
KP-0310,数与代数,小数乘除法,小数乘法,小数乘整数的计算,算法-进位,KP-0309,,五上,L1,,,,,,,,L1,域3:积的小数点位置错误(忘记数小数位数)
KP-0311,数与代数,小数乘除法,小数乘法,小数乘小数的计算,算法-进位,KP-0310,KP-0309,五上,L1,,,,,,,,L1,域3:积的小数点位置错误(忘记数小数位数)
KP-0312,数与代数,小数乘除法,小数乘法,积的末尾去0,算法-末尾有0,KP-0311,,五上,L1,,,,,,,,L1,
KP-0313,数与代数,小数乘除法,小数乘法,积的近似数,算法-近似数,KP-0312,,五上,L1,,,,,,,,L1,
KP-0314,数与代数,小数乘除法,小数乘法,小数乘法中积与因数的大小关系,算法-不进位,KP-0311,,五上,L1,,,,,,,,L1,域3:积的小数点位置错误(忘记数小数位数)
KP-0315,数与代数,小数乘除法,小数除法,除数是整数的小数除法,算法-不退位,KP-0252|KP-0269,KP-0252,五上,L1,,,,,,,,L1,域3:被除数末尾补0继续除时忘打小数点
KP-0316,数与代数,小数乘除法,小数除法,除数是小数的小数除法的算理(商不变规律),概念-意义,KP-0253,KP-0315,五上,L2,,,,,,,,L2,域3:被除数末尾补0继续除时忘打小数点
KP-0317,数与代数,小数乘除法,小数除法,除数是小数的小数除法的计算,算法-单位换算,KP-0316,KP-0316,五上,L2,,,,,,,,L2,域3:被除数末尾补0继续除时忘打小数点
KP-0318,数与代数,小数乘除法,小数除法,被除数末尾补0继续除,算法-末尾有0,KP-0315,,五上,L1,,,,,,,,L1,
KP-0319,数与代数,小数乘除法,小数除法,商不够1补0,算法-除法特殊,KP-0315,,五上,L1,,,,,,,,L2,
KP-0320,数与代数,小数乘除法,小数除法,商的近似数,算法-近似数,KP-0318,,五上,L1,,,,,,,,L1,
KP-0321,数与代数,小数乘除法,循环小数,循环节的认识,概念-认识,KP-0320,,五上,L1,,,,,,,,L1,
KP-0322,数与代数,小数乘除法,循环小数,纯循环小数的认识,概念-定义,KP-0321,,五上,L2,,,,,,,,L2,域3:循环节找错/循环小数≈有限小数(精度混淆)
KP-0323,数与代数,小数乘除法,循环小数,混循环小数的认识,概念-定义,KP-0322,,五上,L2,,,,,,,,L2,域3:循环节找错/循环小数≈有限小数(精度混淆)
